company_name,revenue,net_income,total_assets,total_liabilities,cash_flow_operations,total_debt,accounts_receivable,equity,operating_income
Google LLC,280000000,55000000,380000000,100000000,52000000,15000000,30000000,280000000,60000000
Microsoft Corp,210000000,72000000,380000000,190000000,70000000,50000000,38000000,190000000,78000000
Apple Inc,390000000,97000000,350000000,290000000,95000000,110000000,28000000,60000000,108000000
Samsung Electronics,240000000,32000000,360000000,160000000,30000000,20000000,35000000,200000000,35000000
Nestle SA,95000000,13000000,130000000,75000000,12500000,18000000,10000000,55000000,14000000
Johnson Controls,42000000,5000000,55000000,25000000,4800000,8000000,6000000,30000000,5500000
Unilever PLC,58000000,7500000,75000000,40000000,7200000,12000000,7000000,35000000,8000000
Siemens AG,72000000,6000000,100000000,60000000,5800000,15000000,9000000,40000000,6500000
Bosch GmbH,80000000,5500000,90000000,45000000,5300000,10000000,8000000,45000000,6000000
Toyota Motors,270000000,22000000,430000000,280000000,21000000,80000000,25000000,150000000,24000000
