company_name,revenue,net_income,total_assets,total_liabilities,cash_flow_operations,total_debt,accounts_receivable,equity,operating_income
Enron Style Corp,8000000,5000000,12000000,11800000,-600000,11000000,5000000,200000,4500000
WorldCom Clone,6000000,4000000,9000000,8900000,-800000,8500000,4500000,100000,3800000
Satyam Replica,4000000,3500000,6000000,5900000,-400000,5600000,3000000,100000,3200000,
FakeBooks Inc,3000000,2500000,5000000,4950000,-300000,4700000,2800000,50000,2300000
PaperProfits Ltd,7000000,6000000,8000000,7900000,-700000,7500000,5000000,100000,5500000
MirrorAccounts Co,5000000,4200000,7000000,6950000,-500000,6600000,4000000,50000,3900000
AirRevenue Pvt,2000000,1800000,4000000,3980000,-200000,3800000,1900000,20000,1700000
GhostAssets LLC,9000000,7000000,10000000,9900000,-900000,9500000,6000000,100000,6500000
InflatedIncome SA,3500000,3000000,5500000,5450000,-350000,5200000,3200000,50000,2800000
CashFlowLie Corp,6500000,5500000,9000000,8900000,-650000,8600000,5500000,100000,5200000
