company_name,revenue,net_income,total_assets,total_liabilities,cash_flow_operations,total_debt,accounts_receivable,equity,operating_income
Tata Consultancy,120000000,18000000,130000000,30000000,17000000,8000000,12000000,100000000,19500000
Infosys Limited,85000000,12000000,95000000,25000000,11500000,5000000,9000000,70000000,13000000
Wipro Ltd,60000000,8000000,70000000,20000000,7500000,4000000,7000000,50000000,8500000
HCL Tech,55000000,7500000,65000000,18000000,7000000,3500000,6500000,47000000,8000000
HDFC Bank,180000000,30000000,500000000,400000000,28000000,50000000,40000000,100000000,32000000
Bajaj Finance,70000000,10000000,200000000,160000000,9000000,80000000,15000000,40000000,11000000
ShadowStartup IN,2000000,1800000,3500000,3450000,-250000,3300000,1800000,50000,1650000
FakeUnicorn Pvt,5000000,4500000,6000000,5950000,-400000,5700000,3800000,50000,4200000
Zomato Style,9000000,200000,12000000,8000000,150000,5000000,1500000,4000000,250000
Paytm Style,7000000,-500000,10000000,7000000,-300000,4000000,1200000,3000000,-400000
Adani Ports,40000000,5000000,80000000,50000000,4800000,25000000,5000000,30000000,5500000
GhostExports Ltd,3000000,2500000,5000000,4950000,-300000,4700000,2600000,50000,2300000
Asian Paints,45000000,6000000,55000000,18000000,5800000,3000000,5000000,37000000,6500000
BookedRevenue Co,4000000,3500000,6500000,6450000,-450000,6200000,3200000,50000,3300000
Sun Pharma,50000000,7000000,60000000,20000000,6800000,5000000,6000000,40000000,7500000
