company_name,revenue,net_income,total_assets,total_liabilities,cash_flow_operations,total_debt,accounts_receivable,equity,operating_income
Infosys Ltd,85000000,12000000,95000000,25000000,11500000,5000000,9000000,70000000,13000000
TCS Group,120000000,18000000,130000000,30000000,17000000,8000000,12000000,100000000,19500000
PhantomTech Corp,8000000,4500000,6000000,5800000,-200000,5200000,3500000,200000,4000000
GhostBooks Ltd,5000000,3000000,4500000,4400000,-100000,4000000,2800000,100000,2800000
Reliance Industries,200000000,25000000,350000000,150000000,22000000,60000000,28000000,200000000,27000000
ShadowFinance Inc,3000000,2000000,9000000,8800000,50000,8000000,2500000,200000,1800000
HDFC Bank,180000000,30000000,500000000,400000000,28000000,50000000,40000000,100000000,32000000
InflateProfits Pvt,2000000,1800000,3000000,2900000,-300000,2700000,1600000,100000,1600000
Wipro Technologies,60000000,8000000,70000000,20000000,7500000,4000000,7000000,50000000,8500000
DebtTrap LLC,4000000,500000,15000000,14500000,100000,13000000,4000000,500000,400000
Asian Paints,45000000,6000000,55000000,18000000,5800000,3000000,5000000,37000000,6500000
FakeGrowth Corp,6000000,5000000,5000000,4900000,-500000,4600000,4000000,100000,4500000
Tata Motors,90000000,7000000,120000000,70000000,6500000,35000000,10000000,50000000,7500000
CookTheBooks SA,2500000,2200000,4000000,3900000,-400000,3700000,2000000,100000,2000000
HCL Technologies,55000000,7500000,65000000,18000000,7000000,3500000,6500000,47000000,8000000
