company_name,revenue,net_income,total_assets,total_liabilities,cash_flow_operations,total_debt,accounts_receivable,equity,operating_income
Acme Corp,5000000,300000,8000000,4500000,250000,2000000,800000,3500000,350000
GreenTech Ltd,12000000,1500000,20000000,8000000,1400000,4000000,1800000,12000000,1700000
RiskyBiz Inc,2000000,400000,9000000,8500000,-50000,7000000,1500000,500000,200000
Phantom Profits,3000000,600000,4000000,3800000,50000,3200000,1800000,200000,550000
BlueStar Finance,8000000,900000,15000000,7000000,850000,3500000,1200000,8000000,1000000
ShadowBooks Corp,1500000,800000,6000000,5900000,-200000,5500000,1200000,100000,700000
TrustWorthy Co,10000000,1200000,18000000,7200000,1100000,3000000,1500000,10800000,1350000
DebtLoaded LLC,4000000,200000,12000000,11500000,100000,10000000,3500000,500000,250000
CleanBalance SA,7000000,840000,11000000,5000000,810000,2200000,1000000,6000000,920000
InflatedAssets PLC,2500000,900000,16000000,14000000,100000,13000000,2000000,2000000,800000
